phase,reuse,replicate,variant,curve_index,x,seed,samples,estimate,exact,error,empirical_stderr
1,10,0,default_uniform,6,1.0,9115099325946792267,10000,-0.28346520922217483,-0.28394020618429017,0.00047499696211533715,0.00046390033679931256
1,10,0,default_uniform,6,2.0,9115099325946792268,10000,-0.12724265370786056,-0.1273050380753717,6.23843675111313e-05,0.0002533185513010513
1,10,0,default_uniform,7,-2.0,11748459432976094413,10000,-0.8871074331294276,-0.8884494598171035,0.0013420266876759124,0.0016211633295536404
1,10,0,default_uniform,7,-1.0,11748459432976094414,10000,-0.7445339634302902,-0.7455466141264027,0.0010126506961124493,0.0010635084264714227
1,10,0,default_uniform,7,0.0,11748459432976094415,10000,-0.518973622317482,-0.5187412158785353,-0.00023240643894673063,0.0006391157102316983
1,10,0,default_uniform,7,1.0,11748459432976094416,10000,-0.2839530442133274,-0.28394020618429017,-1.283802903723208e-05,0.00046618915582234075
1,10,0,default_uniform,7,2.0,11748459432976094417,10000,-0.1271850374197045,-0.1273050380753717,0.0001200006556671962,0.0002550796787592891
1,10,0,default_uniform,8,-2.0,5071267236022170941,10000,-0.8906676375181729,-0.8884494598171035,-0.002218177701069357,0.0015344485506605004
1,10,0,default_uniform,8,-1.0,5071267236022170942,10000,-0.7467831162905457,-0.7455466141264027,-0.0012365021641430607,0.0010206990444337303
1,10,0,default_uniform,8,0.0,5071267236022170943,10000,-0.5189658916767985,-0.5187412158785353,-0.0002246757982632408,0.0006536992797882432
1,10,0,default_uniform,8,1.0,5071267236022170944,10000,-0.28513693251422584,-0.28394020618429017,-0.0011967263299356712,0.00046087073009920743
1,10,0,default_uniform,8,2.0,5071267236022170945,10000,-0.1273997251218458,-0.1273050380753717,-9.46870464741123e-05,0.000254540931224506
1,10,0,default_uniform,9,-2.0,2349403645835971583,10000,-0.8906141520068636,-0.8884494598171035,-0.002164692189760009,0.0015242625288758417
1,10,0,default_uniform,9,-1.0,2349403645835971584,10000,-0.7470183419337338,-0.7455466141264027,-0.0014717278073311801,0.0010233159609561533
1,10,0,default_uniform,9,0.0,2349403645835971585,10000,-0.5188414832630557,-0.5187412158785353,-0.00010026738452040274,0.0006442025625739655
